	GSM2692159	GSM2692160	GSM2692161	GSM2692162	GSM2692163	GSM2692164
RPL27	17.0161957197879	17.128138935096	17.1247899312131	17.4894973662167	17.3490643997337	17.4365221288134
RPLP2	17.3959589842833	17.4894973662167	17.4007756763206	17.1478679929616	17.0609864100157	17.0340289761352
ABCD1	17.3314859902965	17.2609103846665	17.3959589842833	17.2151738921686	17.1478679929616	17.133557095342
RPL18	17.1740469452383	17.1740469452383	17.190988185532	17.3525301471896	17.281092234815	17.2959444075894
LOC729739	17.5221585416212	17.5221585416212	17.5667495530671	16.98598226704	16.9248964540957	16.8240207787696
PKM	17.1112405419253	17.0609864100157	17.1517650705152	17.281092234815	17.387954126662	17.3314859902965
VIM	16.6283804073009	16.6834284150317	16.547105321848	17.7835847027945	17.7515948417947	17.8399951505781
UBB	16.8773605455774	16.9413226529124	17.0237339315407	17.5123468469127	17.4443461680565	17.4193681749104
RP11-179A16.2	17.2393976600627	17.0464567930384	17.18114462793	17.4443461680565	17.1161845566977	17.1740469452383
RGPD4-AS1	17.2866206566043	17.2188706971667	17.2668043011884	17.026797413366	17.1517650705152	17.18114462793
LINC00479	17.0822625638264	16.9624582084478	17.0953708798553	17.1974331203339	17.3176616906751	17.4239056292344
RP11-649E7.7	17.2073279572238	17.2073279572238	17.2220538713294	17.005160599605	17.2456007125073	17.1625114714631
MYL6	17.012181036339	17.005160599605	17.0513922098007	17.4613248475573	17.2866206566043	17.1974331203339
RPL8	17.4121868434772	17.3400421038936	17.4193681749104	16.908092596943	16.9779818037944	16.9503308097912
AKR1C6P	17.3176616906751	17.3033074590826	17.2393976600627	16.7018322761477	17.2151738921686	17.1161845566977
FLJ31306	17.1593846461076	17.1058803967996	17.133557095342	17.2073279572238	17.133557095342	17.128138935096
RPS18P9	17.1387427720471	17.1387427720471	17.1974331203339	17.2188706971667	17.0161957197879	17.1517650705152
RPS27	16.9779818037944	17.2340645564593	17.0340289761352	17.2959444075894	17.2609103846665	17.0201890752029
EEF1G	16.9569225772134	17.1625114714631	17.2456007125073	17.0609864100157	17.1740469452383	17.2220538713294
RPS3A	17.3612316540283	17.3959589842833	17.2506964574874	16.9060290893358	16.9008019930461	16.9957985242156
HMGN2P46	16.6399064439421	16.7711971387435	16.7018322761477	17.6981516593732	17.4365221288134	17.5494167510469
GNAS	17.2609103846665	17.5009988612292	17.4684992985507	16.9102003216484	16.9701074320002	16.6605546916882
RPL13	17.2456007125073	17.2709939277277	17.3314859902965	16.9910543492805	17.0340289761352	16.8669507821126
RPL23AP32	16.9673538231103	17.0782340316315	16.8801223663514	17.204794568768	17.3115305177216	17.2340645564593
CTC-513N18.7	17.0684050269545	16.9779818037944	17.0464567930384	17.0464567930384	17.2073279572238	17.3115305177216
CTD-2283N19.1	17.0541873457827	17.190988185532	17.1478679929616	17.0201890752029	17.128138935096	17.0782340316315
RPL4	17.2340645564593	17.1593846461076	17.1112405419253	17.0990934955563	16.9386184628648	17.0609864100157
ANXA2P1	16.5889828163382	16.7329573913839	16.8155167588631	17.4789555685783	17.4064460330331	17.5423193999521
CTD-2008P7.8	17.186074802081	17.012181036339	17.0322339382219	17.2788335303037	16.9673538231103	17.026797413366
TUBB	16.7018322761477	16.7689120902874	16.7711971387435	17.4121868434772	17.4497545872448	17.387954126662
LOC100134868	17.0322339382219	17.0161957197879	17.0990934955563	16.9248964540957	17.1625114714631	17.2506964574874
TH	17.2959444075894	17.0684050269545	16.9465473462493	16.7806902276976	17.0822625638264	17.2788335303037
RP11-518L10.5	17.1517650705152	16.8801223663514	17.073438951664	16.7439544462959	17.2340645564593	17.3400421038936
RP11-624C23.1	17.3228462490873	17.2550704834841	17.1625114714631	16.8773605455774	16.908092596943	16.8301027295305
TREML3P	17.4365221288134	17.2292487600591	17.2550704834841	16.4317476441796	17.0541873457827	16.9386184628648
RAMP2-AS1	17.1058803967996	17.1247899312131	17.128138935096	16.7917855568741	17.0953708798553	17.090877463338
AC106870.2	17.2220538713294	17.1974331203339	17.2340645564593	16.8455025076524	16.9569225772134	16.8562181307648
RPS24	16.9060290893358	17.1478679929616	16.8240207787696	17.0322339382219	17.2550704834841	17.0953708798553
LOC100996385	16.8455025076524	17.1435976409206	17.0393220955013	17.1161845566977	17.0513922098007	17.0161957197879
TMEM54	17.3400421038936	17.2788335303037	17.2151738921686	16.5055954965007	16.5166665895289	17.2668043011884
MT2A	16.6693949742253	16.6989683300248	16.7202705852364	17.4064460330331	17.2393976600627	17.37945933757
AC074286.1	17.2550704834841	17.1517650705152	17.2292487600591	16.9386184628648	16.8334016781349	16.6877373917257
LCE5A	17.1435976409206	16.8956418980041	16.913636216415	17.1740469452383	16.8773605455774	17.0464567930384
ACTG1P4	16.5211742657317	16.4650135394361	16.5578478830243	17.6146608471397	17.6042728989597	17.2609103846665
RPL11	16.9957985242156	17.0322339382219	17.0161957197879	17.0953708798553	16.8669507821126	16.9779818037944
CTC-429P9.1	17.204794568768	17.18114462793	17.2073279572238	16.7163931151627	16.8455025076524	16.8059826062956
YWHAEP1	17.026797413366	16.8861454516045	17.0201890752029	17.0001768869331	16.98598226704	17.0393220955013
NME2	16.6902598364488	16.8155167588631	16.777091041955	17.2668043011884	17.1058803967996	17.281092234815
KRT81	17.0001768869331	16.8773605455774	16.9701074320002	17.1247899312131	16.9060290893358	16.9413226529124
RPL10A	17.0340289761352	17.0513922098007	16.9624582084478	17.0161957197879	16.7895882443875	16.908092596943
AC012594.1	17.0201890752029	16.9569225772134	17.0822625638264	17.190988185532	16.7249811612339	16.777091041955
LOC100508408	16.9248964540957	17.0822625638264	16.9386184628648	17.1112405419253	16.8901121703318	16.7836580178838
RP11-366L5.1	17.3525301471896	17.0953708798553	17.0541873457827	16.4045824060069	16.9503308097912	16.8206941213875
PRDX2	16.9413226529124	16.9386184628648	16.908092596943	16.8901121703318	17.0464567930384	16.9337132249289
RP3-326I13.1	17.0990934955563	16.8359019628777	16.8935979963044	17.012181036339	16.8118845865399	16.9569225772134
RP11-394O4.3	17.1247899312131	17.0340289761352	16.98598226704	16.2326873356703	17.0990934955563	17.0990934955563
HINT1	16.6126939045865	16.6264296789526	16.6329071658379	17.2220538713294	17.1593846461076	17.2550704834841
CSMD2	17.1478679929616	16.9465473462493	17.0001768869331	17.0822625638264	16.6179995143614	16.7051049958828
AD000090.2	17.0393220955013	16.8301027295305	16.9297347909962	16.5342616368719	17.0322339382219	16.9910543492805
ANXA2P2	16.4317476441796	16.457423509645	16.4730385996099	17.2866206566043	17.4007756763206	17.2866206566043
LOC339166	16.8359019628777	16.7895882443875	16.7632291842048	16.9779818037944	17.005160599605	16.9624582084478
APOBEC3A	17.0464567930384	16.9957985242156	17.1058803967996	16.7396486063	16.7806902276976	16.6329071658379
PPIAP30	17.1161845566977	17.2456007125073	17.204794568768	16.5790975296244	16.8059826062956	16.3164316613414
TMOD3	16.8712189442645	16.7363817713165	16.7439544462959	17.0782340316315	16.8301027295305	16.98598226704
SMG1P7	16.8404262879485	16.7993208318425	16.9503308097912	17.133557095342	16.7615431189718	16.6727540512918
YBX1	16.6233579348989	16.7105750766784	16.6126939045865	16.9624582084478	17.026797413366	17.2151738921686
CTC-550B14.7	16.9624582084478	16.9102003216484	16.9779818037944	16.7031730127864	16.7573589931214	16.6834284150317
LDHB	16.913636216415	17.0001768869331	16.8498013130053	16.7542376801609	16.6126939045865	16.8404262879485
CST2	16.5123027434243	16.8059826062956	16.8059826062956	16.6372242113978	17.1112405419253	17.0684050269545
H3F3A	16.7363817713165	16.7917855568741	16.7689120902874	17.0340289761352	16.7485608907891	16.8334016781349
CTD-2600O9.2	16.98598226704	16.7615431189718	16.8861454516045	16.7993208318425	16.7051049958828	16.7542376801609
VDAC2	16.9386184628648	16.8935979963044	16.8956418980041	16.6693949742253	16.7689120902874	16.7202705852364
RPS13	16.7689120902874	17.0201890752029	16.8669507821126	16.8404262879485	16.7202705852364	16.5211742657317
MAZ	16.8861454516045	16.764913281248	16.7993208318425	16.4860234901209	16.8935979963044	16.8901121703318
RPL36AL	16.6727540512918	16.709130365184	16.5958707883766	16.8254369317751	16.8861454516045	17.012181036339
RPL21	16.5578478830243	16.7202705852364	16.6834284150317	16.9569225772134	16.9102003216484	16.8254369317751
OBP2A	16.9337132249289	16.8498013130053	16.8562181307648	16.7051049958828	16.6927778785618	16.6126939045865
TMEM161B-AS1	17.073438951664	16.9008019930461	17.0609864100157	16.3164316613414	16.6553829927524	16.5790975296244
HSPA8	16.5087648669058	16.7163931151627	16.5188372240507	16.8118845865399	17.0201890752029	16.9673538231103
RPL13A	16.9503308097912	16.8254369317751	16.9008019930461	16.6481902002701	16.5371087632151	16.6553829927524
RPS15A	16.8901121703318	17.026797413366	17.005160599605	16.5759930070585	16.5945920133291	16.4216509857336
EEF2	16.764913281248	16.7485608907891	16.8359019628777	16.6834284150317	16.8254369317751	16.6399064439421
RP11-45P15.4	16.8059826062956	16.7396486063	16.7573589931214	16.6283804073009	16.764913281248	16.7917855568741
TXN	16.8498013130053	16.9701074320002	17.012181036339	16.6927778785618	16.4860234901209	16.4548026104939
UBE2H	16.777091041955	16.5322531281082	16.7051049958828	16.8206941213875	16.6954054240131	16.8935979963044
LOC101060751	16.4478837026976	16.7293402675948	16.7363817713165	16.777091041955	16.8359019628777	16.8861454516045
RPL9	16.4216509857336	16.597148430948	16.4216509857336	16.7689120902874	17.0001768869331	17.1435976409206
RPL17	16.9297347909962	17.1112405419253	16.8773605455774	16.3669184103689	16.5123027434243	16.5342616368719
RPL7	16.8617062792895	16.9337132249289	16.8206941213875	16.764913281248	16.4548026104939	16.4959468430218
TRAF3IP2-AS1	16.7573589931214	16.6399064439421	16.7396486063	16.8712189442645	16.597148430948	16.6954054240131
B2M	16.6264296789526	16.6693949742253	16.7806902276976	16.7249811612339	16.7329573913839	16.7329573913839
GPX1	16.5371087632151	16.5759930070585	16.5620992228579	16.8562181307648	16.777091041955	16.9102003216484
RPL12	16.9465473462493	16.9673538231103	16.9910543492805	16.3963098207302	16.4701660601218	16.4259498025989
LOC100132891	16.6006083310803	16.777091041955	16.8118845865399	16.4523010815195	16.7163931151627	16.8155167588631
RPS5	16.709130365184	16.7806902276976	16.8301027295305	16.7615431189718	16.6605546916882	16.400189444672
TPI1P2	16.7293402675948	16.6727540512918	16.6768724046008	16.6006083310803	16.7363817713165	16.7105750766784
ATP5E	16.4611317503656	16.6179995143614	16.4766565397656	17.0237339315407	16.7993208318425	16.7396486063
ATP5B	17.0513922098007	17.0393220955013	17.090877463338	16.3617390011903	16.4959468430218	16.0689104619552
RAN	16.8240207787696	16.9248964540957	16.9248964540957	16.6179995143614	16.4045824060069	16.3548406522476
TPI1	16.908092596943	16.8901121703318	16.9673538231103	16.4478837026976	16.5211742657317	16.311131417019
ACTG1P20	16.5271017414196	16.4701660601218	16.5322531281082	16.9701074320002	16.8240207787696	16.680859477083
PGAM1	16.6768724046008	16.680859477083	16.6097809292784	16.8301027295305	16.6693949742253	16.5055954965007
HNRNPA1P10	16.8669507821126	16.8617062792895	16.8901121703318	16.1203029265719	16.6283804073009	16.5371087632151
RPS3	16.7329573913839	16.6605546916882	16.7895882443875	16.5658470153996	16.5087648669058	16.6372242113978
MAPK15	16.9102003216484	16.5889828163382	16.7632291842048	16.6954054240131	16.4216509857336	16.5001184523702
S100A10	16.2590102231985	16.4147023822966	16.4092284971399	16.7895882443875	16.9624582084478	17.0001768869331
OBP2B	16.7917855568741	16.6126939045865	16.7163931151627	16.5001184523702	16.5434531128505	16.5945920133291
CEP135	16.7615431189718	16.7573589931214	16.7917855568741	16.4024827603226	16.5700002834325	16.4701660601218
RP11-126O1.2	16.6420333257171	16.4216509857336	16.4650135394361	16.1999916986642	16.9413226529124	17.0822625638264
CST4	16.8155167588631	16.4730385996099	16.6927778785618	16.3362788657476	16.7105750766784	16.7031730127864
JHDM1D-AS1	16.7485608907891	16.5371087632151	16.6264296789526	16.3873952433539	16.6834284150317	16.7163931151627
OAZ1	15.984914653739	15.9877033268066	16.1515794714815	17.2340645564593	17.090877463338	17.2292487600591
RPL37A	16.1932771743618	16.5087648669058	16.3576993697152	16.85905825852	16.85905825852	16.85905825852
MZT2B	16.3297608786839	16.3836211045717	16.3712826317117	16.9008019930461	16.7711971387435	16.8617062792895
HNRNPA2B1	16.6655833626874	16.5514400995527	16.680859477083	16.6553829927524	16.5759930070585	16.457423509645
TUBA1C	16.4913622426631	16.311131417019	16.4611317503656	16.6768724046008	16.8956418980041	16.7293402675948
