gene	mRNAs	cor	p.value
CTD-2366F13.1	ABHD5	-0.121390484980184	0.421610291659407
CTD-2366F13.1	ABHD6	0.282743783541896	0.0569181543640689
CTD-2366F13.1	ABHD8	0.276516518977429	0.0628475806023112
CTD-2366F13.1	ABI1	0.164939716441623	0.273335904024089
CTD-2366F13.1	ABI2	0.0574397341860798	0.704563688479657
CTD-2366F13.1	ABI3	-0.321688203711104	0.0292527121205594
CTD-2366F13.1	ABI3BP	-0.062283374191827	0.680925425932162
CTD-2366F13.1	ABL1	-0.0585584010218411	0.69907879828697
CTD-2366F13.1	ABL2	0.0172975471874347	0.909160521554086
CTD-2366F13.1	ABLIM1	0.374467438486962	0.0103502023919971
CTD-2366F13.1	ABLIM2	0.317943202032368	0.0312974188693459
CTD-2366F13.1	ABLIM3	0.134603203816639	0.372463976467573
CTD-2366F13.1	ABO	-0.0445091843714816	0.7689766425189
CTD-2366F13.1	ABR	0.338119291680526	0.0215460875572528
CTD-2366F13.1	ABRACL	-0.325595208704599	0.0272390657850103
CTD-2366F13.1	ABT1	-0.0950268726711864	0.529879089096801
CTD-2366F13.1	ABTB1	-0.106440570977146	0.481400655036563
CTD-2366F13.1	ABTB2	0.347410892000253	0.0180000367516542
CTD-2366F13.1	AC002398.9	-0.226712518641585	0.129740008905039
CTD-2366F13.1	AC003002.6	-0.153790752035949	0.3075194942515
CTD-2366F13.1	AC003006.7	-0.110092193772684	0.466398804510119
CTD-2366F13.1	AC004076.9	0.0477317928695005	0.752759320439454
CTD-2366F13.1	AC007040.11	0.086754265668361	0.566451265756626
CTD-2366F13.1	AC010547.9	-0.00229572936843851	0.987918977373192
CTD-2366F13.1	AC011530.4	0.061486448342794	0.684794629016952
CTD-2366F13.1	AC024592.12	-0.245481081122173	0.10009698048448
CTD-2366F13.1	AC037459.4	0.126403535920264	0.402546508474345
CTD-2366F13.1	AC068533.7	-0.0316795894109163	0.834447695827673
CTD-2366F13.1	AC069368.3	-0.069021371324931	0.648543244026045
CTD-2366F13.1	AC092835.2	0.0270834640862026	0.858199617897467
CTD-2366F13.1	AC093323.3	-0.0074983984493087	0.960554575193441
CTD-2366F13.1	AC138969.4	0.0630268289399627	0.677323124947848
CTD-2366F13.1	ACAA1	-0.160721819916318	0.285960614498886
CTD-2366F13.1	ACAA2	-0.190692558965061	0.204286750453253
CTD-2366F13.1	ACACA	0.192950571671257	0.19887900832167
CTD-2366F13.1	ACACB	0.0141388612178936	0.925697053816921
CTD-2366F13.1	ACAD10	0.106006311004066	0.483201419511144
CTD-2366F13.1	ACAD11	-0.13996622216465	0.353537326489607
CTD-2366F13.1	ACAD8	0.302067311859117	0.0413232637617599
CTD-2366F13.1	ACAD9	0.138983615083935	0.356960375625778
CTD-2366F13.1	ACADL	0.0279062715557951	0.85393775392985
CTD-2366F13.1	ACADM	0.00258207109167532	0.986412268476888
CTD-2366F13.1	ACADS	-0.181299147941561	0.22788924963908
CTD-2366F13.1	ACADSB	0.464798518271486	0.0011365074469675
CTD-2366F13.1	ACADVL	-0.250542079732576	0.0930744439559332
CTD-2366F13.1	ACAN	0.00685191583574871	0.963953065353489
CTD-2366F13.1	ACAP1	-0.268580379861739	0.0711073693187846
CTD-2366F13.1	ACAP2	0.357525390460204	0.014713715335149
CTD-2366F13.1	ACAP3	-0.0357047279245768	0.813764895956122
CTD-2366F13.1	ACAT1	0.282677093321198	0.056979184892109
CTD-2366F13.1	ACAT2	0.107848402561098	0.475587068621492
CTD-2366F13.1	ACBD3	0.016843162853098	0.911537166153886
CTD-2366F13.1	ACBD4	0.322671166898215	0.0287348125642323
CTD-2366F13.1	ACBD5	0.131446494298607	0.383882219294638
CTD-2366F13.1	ACBD6	-0.157301766548723	0.296472127488732
