fromNode	toNode	weight	direction	fromAltName	toAltName
AC068057.1	RP11-598F7.4	0.0513447943561469	undirected	AC068057.1	RP11-598F7.4
AC068057.1	RP11-713P17.4	0.0224729016659587	undirected	AC068057.1	RP11-713P17.4
AC068057.1	RP11-727A23.5	0.0335525545013904	undirected	AC068057.1	RP11-727A23.5
AC068057.1	RP11-814P5.1	0.0336017652473619	undirected	AC068057.1	RP11-814P5.1
AC068057.1	RP5-1177M21.1	0.0543076641255974	undirected	AC068057.1	RP5-1177M21.1
AC068057.1	RP6-201G10.2	0.0243192937526498	undirected	AC068057.1	RP6-201G10.2
AC083843.1	RP11-13J10.1	0.0254583436407319	undirected	AC083843.1	RP11-13J10.1
AC083843.2	LINC00310	0.0229092363545669	undirected	AC083843.2	LINC00310
AC083843.2	RP11-328J6.1	0.0285702204876014	undirected	AC083843.2	RP11-328J6.1
AC092162.1	ADAMTS19-AS1	0.166079767847484	undirected	AC092162.1	ADAMTS19-AS1
AC092162.1	AP000253.1	0.0200847623503507	undirected	AC092162.1	AP000253.1
AC092162.1	AP000569.9	0.128685719286568	undirected	AC092162.1	AP000569.9
AC092162.1	C17orf102	0.0206551608410943	undirected	AC092162.1	C17orf102
AC092162.1	CTA-254O6.1	0.0531535085484202	undirected	AC092162.1	CTA-254O6.1
AC092162.1	CTB-131B5.5	0.0460302685019104	undirected	AC092162.1	CTB-131B5.5
AC092162.1	CTB-25B13.9	0.0358705444920491	undirected	AC092162.1	CTB-25B13.9
AC092162.1	CTB-33O18.3	0.0479334859611947	undirected	AC092162.1	CTB-33O18.3
AC092162.1	CTB-75G16.3	0.164415778537031	undirected	AC092162.1	CTB-75G16.3
AC092162.1	CTD-2523D13.2	0.0214829977322381	undirected	AC092162.1	CTD-2523D13.2
AC092162.1	FAM222A-AS1	0.182392603444828	undirected	AC092162.1	FAM222A-AS1
AC092162.1	FGF14-IT1	0.0707286728683957	undirected	AC092162.1	FGF14-IT1
AC092162.1	GDNF-AS1	0.0317501229579618	undirected	AC092162.1	GDNF-AS1
AC092162.1	INHBA-AS1	0.082793320709517	undirected	AC092162.1	INHBA-AS1
AC092162.1	LINC00173	0.154900866119313	undirected	AC092162.1	LINC00173
AC092162.1	LINC00319	0.0240234099410795	undirected	AC092162.1	LINC00319
AC092162.1	LINC01013	0.0521265155002622	undirected	AC092162.1	LINC01013
AC092162.1	MORF4L2-AS1	0.021083070064101	undirected	AC092162.1	MORF4L2-AS1
AC092162.1	MRPL23-AS1	0.0846361684252069	undirected	AC092162.1	MRPL23-AS1
AC092162.1	RP11-128A17.1	0.026231086905652	undirected	AC092162.1	RP11-128A17.1
AC092162.1	RP11-182J1.13	0.0200489248635123	undirected	AC092162.1	RP11-182J1.13
AC092162.1	RP11-259K15.2	0.0365185543116034	undirected	AC092162.1	RP11-259K15.2
AC092162.1	RP11-307O13.1	0.0589324336122482	undirected	AC092162.1	RP11-307O13.1
AC092162.1	RP11-395N3.2	0.0274201021891415	undirected	AC092162.1	RP11-395N3.2
AC092162.1	RP11-546J1.1	0.0391009320471994	undirected	AC092162.1	RP11-546J1.1
AC092162.1	RP11-556N21.1	0.122254008829176	undirected	AC092162.1	RP11-556N21.1
AC092162.1	RP11-598F7.4	0.0652197637854454	undirected	AC092162.1	RP11-598F7.4
AC092162.1	RP11-713P17.4	0.0218102872818957	undirected	AC092162.1	RP11-713P17.4
AC092162.1	RP11-727A23.5	0.0709917639472456	undirected	AC092162.1	RP11-727A23.5
AC092162.1	RP11-814P5.1	0.0243970532379018	undirected	AC092162.1	RP11-814P5.1
AC092162.1	RP3-523C21.2	0.0477330607258965	undirected	AC092162.1	RP3-523C21.2
AC092162.1	RP5-1177M21.1	0.156944502714814	undirected	AC092162.1	RP5-1177M21.1
AC092162.1	RP6-201G10.2	0.0291014354916924	undirected	AC092162.1	RP6-201G10.2
AC092162.1	SNHG8	0.0284948957005458	undirected	AC092162.1	SNHG8
AC105053.3	CTD-2026K11.1	0.033306691899527	undirected	AC105053.3	CTD-2026K11.1
AC105053.3	LINC01013	0.0218482669156497	undirected	AC105053.3	LINC01013
AC105053.3	SSTR5-AS1	0.107939250346982	undirected	AC105053.3	SSTR5-AS1
AC131056.3	ADAMTS19-AS1	0.0595802796401612	undirected	AC131056.3	ADAMTS19-AS1
AC131056.3	ARHGEF7-AS2	0.0235307931933151	undirected	AC131056.3	ARHGEF7-AS2
AC131056.3	C17orf102	0.0464500109302915	undirected	AC131056.3	C17orf102
AC131056.3	CBR3-AS1	0.0328640564905907	undirected	AC131056.3	CBR3-AS1
AC131056.3	CTA-254O6.1	0.0403091793468132	undirected	AC131056.3	CTA-254O6.1
AC131056.3	CTB-25B13.9	0.0279889022859534	undirected	AC131056.3	CTB-25B13.9
AC131056.3	CTB-75G16.3	0.0642051432704769	undirected	AC131056.3	CTB-75G16.3
AC131056.3	CTC-510F12.2	0.0275762860763247	undirected	AC131056.3	CTC-510F12.2
AC131056.3	CTD-2366F13.1	0.0229853364234644	undirected	AC131056.3	CTD-2366F13.1
AC131056.3	CTD-2523D13.2	0.0274494838120919	undirected	AC131056.3	CTD-2523D13.2
AC131056.3	FAM222A-AS1	0.0489264288429659	undirected	AC131056.3	FAM222A-AS1
AC131056.3	FGF14-IT1	0.0209115498182905	undirected	AC131056.3	FGF14-IT1
AC131056.3	INHBA-AS1	0.0743798460874651	undirected	AC131056.3	INHBA-AS1
AC131056.3	LINC00173	0.0449491552082325	undirected	AC131056.3	LINC00173
AC131056.3	MRPL23-AS1	0.0367787588869193	undirected	AC131056.3	MRPL23-AS1
AC131056.3	RP11-307O13.1	0.0641744785355652	undirected	AC131056.3	RP11-307O13.1
AC131056.3	RP11-395N3.2	0.0539684945013817	undirected	AC131056.3	RP11-395N3.2
AC131056.3	RP11-546J1.1	0.0320441256455327	undirected	AC131056.3	RP11-546J1.1
AC131056.3	RP11-556N21.1	0.0378993351555515	undirected	AC131056.3	RP11-556N21.1
AC131056.3	RP11-598F7.4	0.0355090411967525	undirected	AC131056.3	RP11-598F7.4
AC131056.3	RP11-689P11.2	0.0355223669698217	undirected	AC131056.3	RP11-689P11.2
AC131056.3	RP11-713P17.4	0.0302272385640749	undirected	AC131056.3	RP11-713P17.4
AC131056.3	RP11-727A23.5	0.0211802470967355	undirected	AC131056.3	RP11-727A23.5
AC131056.3	RP11-814P5.1	0.0443445259860971	undirected	AC131056.3	RP11-814P5.1
AC131056.3	RP5-1177M21.1	0.0274711671520401	undirected	AC131056.3	RP5-1177M21.1
AC131056.3	XXbac-BPG299F13.17	0.0224707174474018	undirected	AC131056.3	XXbac-BPG299F13.17
ADAMTS19-AS1	AP000253.1	0.0832707884261834	undirected	ADAMTS19-AS1	AP000253.1
ADAMTS19-AS1	AP000569.9	0.215550946254081	undirected	ADAMTS19-AS1	AP000569.9
ADAMTS19-AS1	AP003025.2	0.0490182074356049	undirected	ADAMTS19-AS1	AP003025.2
ADAMTS19-AS1	ARAP1-AS2	0.0274550529806157	undirected	ADAMTS19-AS1	ARAP1-AS2
